"","Consumo de energía renovable (% del consumo total de energía final)","Consumo de energía procedente de combustibles fósiles (% del total)","Emisiones de CO2 (toneladas métricas per cápita)","Electric power consumption (kWh per capita)","pc1_ambiental","pc2_ambiental"
"AFE",63.2203980075116,48.222215258087,0.941337318704173,707.778920038373,219.059017915194,-540.264480042829
"AFW",76.0176482939464,22.8328480115186,0.47494905687529,175.952529524688,-45.636927918277,-41.1151763152473
"AGO",55.326,45.9333011263038,1.01255212444657,244.102667297719,177.664602601864,44.7519270217692
"ALB",39.78,60.0625981905375,1.72385611182856,2221.99887635755,1138.22437847198,-843.786378514661
"ARB",4.61217480104501,95.5160548376727,4.40299930644354,2327.63784702541,801.405540597689,-1729.41688844226
"ARE",0.444,90.3808387040285,20.5825533316871,11050.2299801176,-6202.01444525017,-4045.3295174353
"ARG",10.17,88.8140866589837,4.20181586904703,2969.88196675051,1669.25401925648,1140.34545412022
"ARM",13.15,73.2677382395406,2.05327555691248,1847.7081073369,927.217591503394,-694.72332288147
"AUS",9.912,94.421655861136,16.3203306101751,10726.9281831902,3506.95940543012,-8105.70840632062
"AUT",34.486,66.6370944299915,7.16298622424046,8444.44292781917,-4724.69288287278,-3070.08051812838
"AZE",1.726,97.9697974950254,3.35639633905408,1931.28748216634,1095.54079471705,712.576754044474
"BEL",10.398,72.1427610048269,8.02527741304317,8022.01358581418,4149.33960644244,-2892.18439898846
"BEN",45.488,38.0714948765281,0.613536458256334,92.6980442297109,25.3926344809176,-71.4258035060108
"BGD",27.672,72.3865267659637,0.541213187175214,281.611175406998,-106.258151889251,-116.809198768409
"BGR",18.962,72.329999281502,5.67903949483648,4706.93054434061,2625.59710932519,1858.55503282691
"BHR",0,99.0758963410037,21.4439143984133,19145.4823574001,9937.5517466424,-6856.3385322459
"BIH",30.28,89.5246257470995,6.45371546567474,3303.04624632661,1098.53164597652,-2481.59068391147
"BLR",7.482,91.5095384705711,6.0042568820845,3650.11779517643,-2012.71848276555,-1354.64967261555
"BOL",14.524,83.4351624601092,1.8936936513003,651.594725003222,392.673901596266,196.959884753364
"BRA",47.074,56.3462238852279,2.08086028601828,2490.57780938069,1282.90062166773,-943.630513014233
"BRN",0.01,99.9951847724212,17.6962691647321,9228.96496284741,3034.30225590649,-6964.34712236926
"BWA",26.06,67.2805233485,2.86092770799488,1641.02936766075,-878.687062618716,-609.204668501545
"CAN",22.442,73.9173356383684,15.0515586530618,15518.0418781749,8584.43330528954,6267.78189469024
"CEB",18.0080751484399,78.3958543543807,6.35881438390548,4079.74776383061,2091.96322251112,-1494.67986259685
"CHE",24.884,50.4642102392592,4.73723860185747,8174.40816244636,2646.78660798906,-6189.21836504015
"CHL",25.222,72.6532235032986,4.6759512636777,3704.74504362377,-2044.12102826912,-1359.43414224974
