"","Agricultura, valor agregado (% del PIB)","PIB per cápita (US$ a precios actuales)","Ahorro bruto (% del PIB)","Desempleo, total (% de la población activa total) (estimación modelado OIT)","pc1_economia","pc2_economia"
"AFE",13.2928556409971,1522.35446601858,19.1218547611088,7.82583175936462,945.683310647992,-45.2935233564844
"AFG",27.5620535938408,476.761157486089,-2.73776944282332,12.869,226.919520575774,-120.473324896526
"AGO",10.3144730563565,2222.1360125487,31.8692783229903,15.5398,-316.451337735335,1951.91840820262
"ALB",18.6049994072706,5842.8459769071,15.9855786965243,11.921,-3617.68565913446,-2323.45170292671
"ARB",4.913209255995,6554.55256010063,28.0083395320229,11.1647856106507,4082.56582667329,-181.260862624625
"ARG",6.03193514058624,10912.2279870777,15.4317329304915,8.7372,4972.0547980724,-2556.56918804971
"ARM",13.9423116554146,5143.42612118096,16.6559103400147,12.2,-716.287086752639,4543.80943647857
"AUS",2.31104861864963,57997.686259853,23.7894252325729,4.8116,-36020.2247574467,-23194.2306374789
"AUT",1.17110627441877,51185.2423572276,28.139749827186,5.2956,31828.8888417402,-1428.29435240925
"AZE",5.62744939397035,5389.11557187673,31.9101450778409,5.914,2452.75346807066,-1241.7951782237
"BDI",28.5416350259674,229.208767960698,6.32161587277643,0.9922,-22.3766962003321,193.677087664781
"BEL",0.646879752577165,48314.5857312298,25.6813054173595,5.6542,-30001.8336007404,-19323.4814672627
"BEN",27.4950294511383,1253.96397510716,20.6938774749772,1.5318,771.620917974321,-49.4391623509304
"BFA",18.5602796468175,817.360593814611,17.129783516787,5.0564,378.708342841692,-179.616457846192
"BGD",11.8611093690818,2293.00526608755,35.802182175148,4.679,-334.859966942678,2013.03335901717
"BGR",3.66970164736857,11132.8251475934,22.0964371934503,4.615,-6902.05863870394,-4450.70038747063
"BHR",0.283985874948644,26343.0150384088,29.2311303074194,1.4392,16388.1706265583,-739.566785851835
"BHS",0.621550022798985,29495.9983170733,14.3019235869302,10.7334,13441.6690272309,-6929.1446186058
"BIH",5.3879524656314,6602.66390545653,20.3190443927397,14.1894,-925.463684257427,5836.33858509675
"BLR",6.97550735621172,7023.73372397099,28.0873958424392,4.16,-4345.81929374708,-2804.5220119719
"BLZ",7.54068016904473,6073.11654954967,23.2355948226792,9.344,3779.74379382431,-169.389610110373
"BOL",12.619252247791,3391.46899486106,14.1140154024404,4.8562,1549.33588107033,-787.474827017607
"BRA",5.72740036319153,8300.90095931961,14.619944602066,11.1612,-1161.33714610325,7342.2744338175
"BRB",1.6664854655787,18392.6216606471,4.95018534811981,8.8176,-11421.3974589723,-7356.328681325
"BRN",1.11472964803022,31553.9107272114,51.5568344599416,5.567,19636.4291850136,-886.658094697422
"BTN",14.1825034145211,3424.6174742825,32.9057371461737,4.9074,1562.76115741547,-778.696861565907
"BWA",1.99143725701914,6898.34488037079,28.0572627870841,22.2894,-968.169345374286,6095.61881905744
"CAF",32.2103082407022,437.201180935105,11.5755993013269,6.4296,-266.035880936002,-148.160941170052
"CAN",1.7977961532701,48904.5745032944,21.3330721182116,6.7156,30407.4990378923,-1362.15288569461
"CEB",2.85630604762728,17392.2454835829,22.2485654972542,4.13487341383236,7926.82562742936,-4072.7131253579
"CHE",0.647496247637128,88388.6849371396,32.5687352336607,4.4896,-12388.1220660399,78247.7596792493
"CHL",3.82849608952319,15044.5191950116,18.3730636822286,8.9622,-9332.94558254414,-6015.84643724878
"CHN",7.28527399328812,11159.1415160271,44.7346623742154,4.8114,6951.89086767178,-320.041611138623
"CIV",17.7998737608437,2407.03773651864,18.1377464012793,2.5334,1104.54308536998,-551.587980737625
"CMR",16.948790106777,1577.92490911517,14.5063553378708,3.8558,-219.736182292049,1387.23024100984
"COD",19.1386937731526,575.478602649067,20.1760213015008,4.9702,-345.444412157538,-214.931157468683
"COG",8.39289578662917,2485.0311201244,42.3794098463974,21.2864,1555.86368701824,-63.7037156137347
"COL",7.2085128064764,6265.9417511728,14.7174975620753,12.0248,2852.17178266075,-1465.73644610251
"COM",35.4123006099851,1524.81704373783,12.5395551409323,5.604,-201.575148872354,1336.60272491805
"CPV",5.21795312326391,3608.47503060058,21.8398107847032,13.0664,-2223.32342937225,-1442.16586872719
"CRI",4.30737838818509,12640.2306034946,14.1636659281929,12.4436,7859.4003618859,-346.162189897458
"CYP",1.71290433544931,30366.111328125,13.4962281720457,7.126,13841.4666492602,-7133.09746140865
"CZE",1.90094823207962,24826.2675062889,27.5786979000117,2.43,-3489.46870234215,21970.1163497188
"DEU",0.770199276535331,48327.7268911102,29.7890319250627,3.3572,-30008.5101144705,-19328.2018750575
"DJI",1.65492726643234,2950.45698269832,32.3933476828384,27.013,1844.01106039009,-66.5555157010169
"DNK",1.18732926070881,63816.0415522692,32.2365344464277,4.9924,29092.759557156,-14983.1045503158
