"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","99.4755172729492","100","99.4818725585938","99.8281784057617","100","99.8344421386719","99.5008316040039","","","","","","","","","","","",
"","AFE","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.3081970214844","87.7514877319336","89.8409729003906","89.6797332763672","","88.0905075073242","88.9018096923828","86.8634719848633","84.5224685668945","85.1117782592773","82.1689376831055","82.3956680297852","81.4983825683594","80.820442199707","77.4373321533203","76.4938888549805","76.006706237793","74.0685577392578","72.9361572265625","","","","","",
"Afganistán","AFG","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5186462402344","75.1578903198242","60.0653190612793","58.9900207519531","60.3354415893555","67.5614395141602","69.3581237792969","67.2199401855469","65.9081726074219","62.9357490539551","73.4748001098633","63.9019012451172","64.858757019043","66.6258163452148","67.0037689208984","66.7553024291992","66.7042388916016","69.1110000610352","71.6461486816406","68.6515579223633","67.5595016479492","",
"Angola","AGO","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4864196777344","","","","","","","","","","","","",
"Albania","ALB","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9208068847656","","","61.7683296203613","","",
"Andorra","AND","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"El mundo árabe","ARB","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.0332489013672","93.6581268310547","91.8415298461914","90.7478790283203","90.6970901489258","91.6159973144531","91.5888290405273","91.2179565429688","89.2816467285156","86.0624008178711","87.0232315063477","85.0943298339844","84.0720977783203","84.9317932128906","85.5390777587891","84.3048934936523","83.8264389038086","85.3869705200195","85.4196701049805","",
"Emiratos Árabes Unidos","ARE","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.8508605957031","59.9652290344238","","","","","","","100","100","100","100","100","","","100","100","","","",
"Argentina","ARG","Maestros capacitados en educación de nivel primario (% del total de maestros)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
