"","Gasto público en educación, total (% del gasto del gobierno)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)","Proporción alumnos-maestro, nivel primario","Inscripción escolar, nivel primario (% neto)","Inscripción escolar, nivel secundario (% neto)","Maestros capacitados en educación de nivel primario (% del total de maestros)","pc1_educacion","pc2_educacion"
"ABW",21.4369640350342,97.9899978637695,14.78869,99.07723,77.4201925,99.7290649414063,-31.8435467535018,-128.533098781661
"AGO",6.29657926559448,72.4000015258789,50.02951,75.963155,10.0248066666667,47.4864196777344,110.670904907614,-47.7593751696117
"ALB",10.581845664978,98.5,18.92294,94.417618,86.70833,89.9208068847656,35.445712512133,-96.3375822412554
"ARE",13.7075700759888,98.0647583007813,20.265096,91.81659,89.933825,100,172.393484958767,-79.1391042095049
"ARM",9.42489585876465,99.7563629150391,15.41859,93.76733,90.063236,75.9700736999512,-4.13337547625996,-176.430631806613
"AZE",10.1276426315308,99.7913341522217,14.499042,93.982,88.53256,99.7385009765625,178.576947332419,-57.9177977561223
"BDI",20.5118003845215,75.5400009155273,45.734736,94.87551,28.57247,100,16.0855092089411,-106.709885290177
"BEN",17.7333545684814,47.0999984741211,43.075016,96.8683766666667,45.00416,72.3977783203125,137.259712334804,-55.3693005626019
"BFA",21.6364776611328,34.4997113545736,44.49899,73.493118,28.695595,88.9999725341797,-21.4750599391671,-131.040547103789
"BGD",11.1260633468628,73.8314498901367,30.054575,93.43051,63.6616675,74.3449478149414,145.508546041108,-64.4910213568996
"BLR",13.1538757324219,99.8740005493164,18.083766,94.741618,97.239044,99.4530883789063,-14.1874439714293,-187.418795513706
"BOL",19.2630255222321,93.8525619506836,17.270646,89.235768,76.44761,88.2550710042318,167.706683643076,-56.9678990363789
"BRA",13.9535640716553,93.9587516784667,21.22749,95.022298,81.94323,92.1365610758464,-31.8283324759382,-118.354672312928
"BRN",10.3843234380086,97.4020538330078,10.110072,93.08999,84.600096,85.6990585327148,161.660728714038,-71.053754286248
"BTN",17.8411350250244,72.0999984741211,36.8184575,87.788825,65.449762,100,9.9043384976431,-127.290105113488
"BWA",21.7304615020752,86.8231811523438,23.04033,87.8132,58.44347,100,159.637112230246,-68.0068956890056
"CEB",11.0862157821655,99.411865234375,12.61128,91.866362,89.691742,95.5333770751953,-11.7926867489067,-178.992873639948
"CIV",18.1013458251953,89.8934173583984,42.2654,81.629528,35.76224,100,157.628597798531,-62.8902878473288
"CMR",14.665571975708,77.650520324707,43.568742,92.7853575,43.129916,72.3220914204915,-5.51168514169522,-106.221535481678
"COD",21.6123027801514,80.5400009155273,35.08353,67.86944,17.4721133333333,95.9998245239258,133.076732821598,-61.0179473512955
"COG",17.2630506515503,80.6100006103516,44.442,87.06392,27.19283,82.1395111083984,-3.34308931130028,-121.304838622035
"COL",14.5263898849487,95.1579875946045,23.949406,92.290198,76.283946,97.2231349945069,167.258687924087,-74.7618437590044
"COM",10.7458912531535,61.7099990844727,23.479595,80.4811466666667,46.03486,50.75439453125,3.49395808981449,-100.551445608761
"CPV",16.2675979614258,91,22.60472,93.064438,71.248102,96.0363121032714,169.46292225867,-60.259915207928
"CRI",20.0824565887451,98.0400009155273,12.342954,97.290842,81.04405,94.0883285522461,-37.2449150477083,-127.34751907291
"CUB",14.409899520874,99.6731109619141,8.939238,95.349554,84.25129,100,170.406398914495,-75.2734328319013
"CYP",13.0774019241333,99.3600006103516,12.561398,97.159976,94.389978,100,36.9918200628242,-99.6811396338338
"DOM",20.4332950592041,95.5,19.043148,92.345962,68.91046,95.8857009887695,164.045333837869,-74.1412069075991
"DZA",15.0227626800537,81.4078369140625,24.056184,97.5906625,52.8474133333333,98.1494293212891,-9.62430171250194,-131.05404295582
"EAR",16.7957096099854,79.9671920776367,27.553776,90.250402,63.055072,81.5145477294922,155.177843342922,-57.2063605816018
"ECA",12.9581171989441,99.2470672607422,18.174936,92.943664,88.551356,93.0926116943359,-38.030096542564,-118.085936970363
"ECS",11.2174514770508,98.4798706054688,14.82022,95.454646,90.044492,93.8483596801758,170.684556132641,-76.2667449531006
"ECU",14.5461587905884,94.0192693074544,24.731046,91.449762,84.803618,88.8926467895508,31.5386476458192,-101.588437689988
"EGY",11.7307608127594,74.5,23.5113466666667,97.38521,80.4981575,83.2777690887451,155.038703963976,-70.5486274832231
"ESP",9.42075462341309,98.4271570841471,13.145002,99.55937,93.31034,100,-11.2932611740803,-181.609244853162
"FCS",14.850271987915,65.4415496826172,30.742118,76.549165,36.933848,71.7576503753662,126.63135435373,-50.9310223959725
