"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","18434.0087880825","17934.9905446796","17447.1974799082","16965.5221170593","16492.7850321724","16032.0148964568","15580.265632949","15136.3840778213","14702.4121349595","14279.3527000686","13870.0070119829","13480.6357767536","13097.4271331516","12714.3692381057","12342.9037108122","11986.4647027613","11639.6455654448","11279.5089720363","10907.9821761147","10554.4741035442","10246.260576204","9957.63292030855","9662.60410511699","9371.76023936384","9086.11733639096","8806.58422236437","8536.07654302724","8286.85076800185","8052.18201005873","7824.36367420055","7621.57856357546","7435.30815885344","6340.79755629785","6177.99506469026","6020.10193681437","5861.05905774744","5713.45162467673","5572.17284998326","5432.63162646065","5297.44763678395","5164.89558365598","5034.28445289415","4906.16881662805","4780.14675609225","4656.9926109209","4536.0611258213","4416.6844413737","4299.55559238958","4185.67610488423","4074.30236656123","3965.82378080801","3593.71615229405","3496.50107026708","3402.08697946816","3309.3371285154","3221.44409620901","3138.09961052965","3055.93667519694","2975.84471999349","2898.21741106255","","","",
"Afganistán","AFG","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","","5256.96877271353","5148.80482753688","5039.80860912613","4929.35445738576","4819.51257606576","4710.27559357964","4600.99650851209","4492.83428664321","4384.83466569379","4280.19354281741","4177.46361597529","4073.32679354885","3972.23931263326","3878.30081236213","3794.68706789158","3716.31444702069","3644.06081462187","3630.73003701034","3776.03854874866","4226.73023645037","4673.73605177251","4738.00348069914","4602.83534657349","4485.25577991559","4512.63451527032","4567.57777330438","4540.87558482433","4417.61996063399","4408.68624329066","4388.01928346018","3910.45092267981","3366.95287551343","3050.68307155583","2871.6884529255","2756.24693283497","2650.54133160835","2549.59516862801","2447.71710017735","2412.6307848004","2394.7829387029","2245.21072505021","2082.12538413337","2001.82129650005","1931.49117550225","1853.16604870883","1820.2313288179","1784.14670431021","1721.72617966269","1672.59838993515","1612.01227098613","1547.60253063703","1494.86977496646","1441.18160385937","1396.89221553001","1361.29224542399","1322.82487611037","1285.20395791574","1248.36180644069","1209.835824124","","","",
"","AFW","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","19115.5271639974","18713.9770432524","18312.7758331474","17916.575842281","17523.5973518474","17134.1691437914","16752.9194991703","16376.9132382547","16004.9583975537","15634.6977462931","15268.6221570883","14905.6196739482","14540.4015239925","14172.3392404306","13801.9566943943","13439.4839528127","13081.6062868004","12723.560475312","12370.9379920776","12028.7196230619","11695.4241809986","11366.3125675485","11065.3213235394","10783.2520833961","10499.2159157858","10222.0412762327","9951.984051663","9687.41487524282","9426.58156572102","9182.78495887646","8947.60880098875","8709.79474005456","8483.17828429332","8265.73895309595","8048.96148283371","7838.30702741607","7633.05205140083","7430.7903434859","7234.99042653036","7041.38064411386","6849.61515221291","6662.30752806429","6479.80507229232","6301.55658146656","6127.46243135988","5958.6665327648","5794.76680947405","5635.12834837123","5479.29515571331","5327.64192418091","5180.07073408907","5038.3494738251","4902.93821519191","4771.68209713885","4645.17912857625","4522.48155779265","4403.31610775543","4288.83681702676","4178.7687962245","4072.25306609591","","","",
"Angola","AGO","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","27199.2175446715","26804.7958851016","26429.3879078764","26087.574223996","25799.334865256","25574.3692289189","25396.8123225333","25220.6680648233","24964.6362433215","24545.1680846477","23959.6609966992","23253.1429843618","22498.4532313403","21756.7262830368","21044.5101342825","20366.6548319889","19702.0858252145","19043.7220697438","18400.595383589","17767.0065967215","17146.5837111857","16541.5765821347","15953.9371028965","15388.2912986907","14843.6090389957","14323.6332011752","13839.462422914","13381.2393758158","12937.6306547717","12512.0068768695","12102.6853978075","11715.8058966443","11351.1992005074","10993.8834637953","10638.1044105509","10289.6752147448","9952.15836089566","9631.11276315063","9325.32942828863","9027.6589169908","8735.89941721517","8449.35062458685","8165.81368857418","7884.45018612363","7608.87933597516","7340.41782848618","7078.06009885181","6822.94216145829","6575.53508194583","6334.48160079198","6100.80064351905","5875.74576315059","5660.30476457683","5455.55003979787","5261.71316901216","5076.36046631996","4899.26255505546","4732.43621051705","4574.45399873424","4427.36174171932","","","",
"Albania","ALB","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","16206.7719002289","15718.869480208","15261.3636170226","14828.0034286313","14425.2090448742","14050.1302379173","13685.4026102998","13301.8703715425","12922.1619881875","12596.7054698267","12295.1587698077","11992.1930377518","11712.1918256738","11446.2045406966","11185.8172154301","10941.5153632705","10702.0122170034","10482.1557858772","10275.6785003774","10067.3765726533","9867.73565913539","9661.39157081297","9458.64217499543","9261.7171912276","9073.24095492319","8899.51978985223","8723.55570833489","8560.51039736043","8333.48048586979","8184.89464001981","8234.38298758108","8284.47086715004","8335.17440500334","8386.49979298751","8438.46383569276","8491.07316748279","8544.34531098082","8598.28737458167","8652.91764159422","8708.24372852681","8790.35270228186","8816.75248524259","8849.80208026277","8886.86557608197","8932.46426101125","8988.99833486324","9057.18721475332","9126.95423697645","9188.66794715935","9234.39961469553","9259.27519495249","9274.57961847344","9291.58727943706","9310.84516168334","9337.99839830763","9352.93996977158","9361.54604018783","9384.67249237365","9424.7371672043","9479.0103349403","","","",
"Andorra","AND","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","","28654.439803886","26657.6568966974","24869.9763593381","23269.1882326919","21696.686374261","20044.4585582725","18478.8336553662","17106.6182448913","15891.2386706949","14801.613357096","13822.704975473","12938.1379904071","12137.0611083337","11418.2344428365","10773.5372431215","10197.4215645094","9688.70878614846","9243.7467049382","8862.43014798798","8532.72771514316","8176.58946059381","7805.69845666799","7482.04167753254","7203.99917825104","6920.2938274312","6625.38049753333","6355.98340516373","6111.65979201766","5891.46707984095","5693.256845979","5509.48798072727","5335.04631820948","5170.63420548192","5015.25553012967","4919.94949101283","4879.25543427847","4841.53038996103","4806.94539639022","4774.80067174002","4653.49454438219","4454.54417140679","4270.23150716441","4102.27080706589","3953.59907799464","3934.13196045923","4037.45778323611","4149.62855828019","4273.41168824135","4412.81337826312","4472.3454305837","4444.25668539563","4422.21194669805","4406.52881138214","4398.85150391659","4350.70306038048","4274.27983260425","4207.27073973845","4133.97430019779","4061.77606177606","","","",
"El mundo árabe","ARB","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","1238.3856468665","1207.30409697392","1176.38962509034","1145.99152510152","1116.14317092216","1086.39531416528","1056.63317363492","1027.36019509548","998.799924766681","971.176025209307","944.494819756558","918.482019731464","892.905361343994","867.744658125274","841.782560296557","813.306044248622","786.38928158824","763.356544181994","739.283563794596","714.847452973087","693.359048443151","672.856003760954","651.934844871015","631.393930085921","611.914365926707","593.125059451357","575.316699011335","559.405662752551","544.45057233875","531.058456702178","519.515970516874","506.372188306605","492.584829541979","479.425145371556","467.836716066152","456.87476142051","446.351949082214","436.251075989469","426.553069341825","417.146007034957","408.07294467636","399.261023921409","390.747877096864","382.458124161494","373.784212111259","364.574077665003","355.127303807909","345.804301646817","336.975602242125","328.944774146563","321.893694407677","296.485066456947","289.819724334615","283.416701448319","277.435290053764","271.703175952778","266.196270302242","260.730845914178","255.461475521318","251.048299949476","","","",
"Emiratos Árabes Unidos","ARE","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","1063.95051920785","1007.54313963876","955.377501496758","907.413568857566","863.075887385858","821.877277284956","783.682681657646","702.306374132652","592.274373077576","503.213859180634","435.397212877308","382.294172817355","339.715454335449","304.905936518584","276.042797675352","244.229269412563","212.20579434995","186.281948906587","165.116043555411","147.921991858374","136.341325964842","128.440492663479","121.205069280818","114.649885999797","108.732211410213","102.131344994917","95.1831609566288","89.0905106133525","83.7128315028127","78.9410946814227","74.6869496505398","70.8807308842938","67.4677639024074","64.404660492979","61.6272553521217","58.3037118086394","54.6225418490604","51.3499912705015","48.4251652024511","45.796870119771","43.4254203146432","41.2807489979098","39.3345331240037","37.5625510381162","35.0385996893711","30.6187810704081","25.5422448295685","21.46326526378","18.7672564923447","17.6849858360948","17.49229318716","17.311083282583","17.1392392942884","16.9761013839936","16.8219915914714","16.6772975173174","16.5411451059824","16.4110751125061","16.2837152968244","16.1511071745479","","","",
"Argentina","ARG","Recursos de agua dulce  internos renovables per cápita (metros cúbicos)","ER.H2O.INTR.PC","","14119.4767882813","13891.2946253677","13667.8415861586","13450.9604469441","13240.4320534355","13033.9011769613","12831.2088747671","12633.5986836136","12440.3396246801","12246.8822143101","12054.4701876646","11863.7485853902","11670.3892010851","11473.5883105196","11284.7807958383","11106.7761718723","10930.688206611","10756.6012838446","10585.7954431341","10419.3417523756","10255.947351867","10095.8546075233","9939.70242913733","9788.08231924722","9641.06448974072","9496.45193692821","9354.04160107492","9214.03289636939","9077.97439053682","8946.72065461072","8820.21658887608","8698.68687065782","8581.36011031162","8466.54219689837","8355.72256826296","8251.06708620517","8152.78748131665","8058.90841257582","7966.59899695608","7876.82501584671","7790.71929496765","7707.53026762974","7628.37005453031","7551.30829519492","7473.66920122166","7396.73992740708","7322.67998752436","7250.37678991504","7177.20907736043","7158.88881591072","7076.81666367356","6996.81556233634","6918.95006828317","6843.29556240406","6769.92094448002","6698.72757210951","6629.61182873506","6562.60856678427","6497.7385199647","6435.01168208054","","","",
